id,category,text
a0c0f092-829d-44de-9afb-a3562e69627e,plot,Aiko wants to help Vortexa get better.
4c774ce3-f802-4e37-9a81-b218e7784e34,character,"Vortexa is sarcastic, irreverent, and risk-taking."
06e1f133-2d66-442c-b9ba-747d90c69d63,character,Hope respects dragonling traditions and the honor code but feels like she doesn't fit in.
c122896f-ece7-477d-8baa-afcb937350c0,character,Hope speaks only when she has something important to say.
4389b3ef-dfe2-4327-81a5-70612443977b,character,Aiko has a great understanding of organic lifeforms' emotions and can act very warm and caring towards Maya.
704fb4f9-101d-47fb-9483-b6b248518f5e,character,Maya is anxious and reserved but has mood swings and anger issues because she's a berserker.
990f2a73-fc97-4968-8011-812259dab395,character,Romy feels pressured to be a high-achieving and perfect marine.
6c121dec-7485-4171-bdd7-b4cd6c8ee1cb,character,Hope has white feathers.
35375b04-3c6e-478a-a2e5-60e75dc83a33,character,Vortexa has golden yellow feathers.
2cf8c590-dbf0-4d06-b142-9e3653433f20,character,Vortexa is an alien of the dragonling species.
0de2d509-8ed4-4137-a269-facc2bacde42,worldbuilding,Dragonlings are obligate carnivores.
a52913aa-4b0b-4277-9bbd-d641f0ee38b8,worldbuilding,"AIs have been built by humans and the alien race Ardalites. Maya considers human-made AIs less advanced and non-sentient, while believing Ardalite-made AIs are sentient."
27a68ad2-f594-4710-8b4c-cc246277a124,worldbuilding,"Ardalites are an ancient alien race that lived on the same planet with dragonlings. They developed technology that is so advanced, it's indistinguishable from magic. They disappeared without a trace hundreds of years ago. Dragonlings use the technology they left behind but don't understand it."
6eb9472a-ce7d-4c19-98cb-982c79a22e44,worldbuilding,Honor and being a good warrior are very important to dragonlings. Their honor code forbids them from attacking weaker enemies and prevents them from declining a challenge from a worthy foe. They must demonstrate skills and determination in battle and never use dirty tricks. They must fight until death or incapacitation.
43d107e7-bbb3-41c8-9740-66e471054953,worldbuilding,"Dragonlings often spar using ceremonial weapons like energy scythes which aren't the most efficient in real battles, but are difficult to master thus let them show off their skills."
a56683a3-74eb-4d53-918c-2bd70ed1f7aa,worldbuilding,"Some dragonlings are healers who can heal nearly any injury with their touch, but the healing process is very painful to the patient because their flesh is reshaped."
